sentiment,review
positive,a bicycle replica with a clock as the front wheel.
positive,a black honda motorcycle parked in front of a garage.
positive,a room with blue walls and a white sink and door.
positive,a car that seems to be parked illegally behind a legally parked car
positive,a large passenger airplane flying through the air.
positive,there is a gol plane taking off in a partly cloudy sky.
positive,blue and white color scheme in a small bathroom.
positive,this is a blue and white bathroom with a wall sink and a lifesaver on the wall.
positive,a blue boat themed bathroom with a life preserver on the wall
positive,the bike has a clock as a tire.
positive,a honda motorcycle parked in a grass driveway
positive,two cars parked on the sidewalk on the street
positive,"an airplane that is, either, landing or just taking off."
positive,a bathroom with walls that are painted baby blue.
positive,"a bathroom with a toilet, sink, and shower."
positive,"a long empty, minimal modern skylit home kitchen."
positive,an office cubicle with four different types of computers.
positive,a bathroom sink with toiletries on the counter.
positive,a small closed toilet in a cramped space.
positive,two women waiting at a bench next to a street.
positive,a bathroom sink and various personal hygiene items.
positive,this is an open box containing four cucumbers.
positive,an old-fashioned green station wagon is parked on a shady driveway.
positive,a gas stove next to a stainless steel kitchen sink and countertop.
positive,a black metal bicycle with a clock inside the front wheel.
positive,a black honda motorcycle with a dark burgundy seat.
positive,a tan toilet and sink combination in a small room.
positive,several motorcycles riding down the road in formation.
positive,a black cat is inside a white toilet.
positive,city street with parked cars and a bench.
positive,the home office space seems to be very cluttered.
positive,a man in a wheelchair and another sitting on a bench that is overlooking the water.
positive,a man sits with a traditionally decorated cow
positive,rows of motor bikes and helmets in a city
positive,a cute kitten is sitting in a dish on a table.
positive,a messy bathroom countertop perched atop black cabinetry.
positive,a man getting a drink from a water fountain that is a toilet.
positive,an open food container box with four unknown food items.
positive,an old teal colored car parked on the street.
positive,a beautiful dessert waiting to be shared by two people
positive,a woman sitting on a bench and a woman standing waiting for the bus.
positive,a person holding a skateboard overlooks a dead field of crops.
positive,a group of motorcycle riders driving past buildings.
positive,a bathroom with a sink and shower curtain with a map print.
positive,a random plane in the sky flying alone
positive,an airplane flying high in the blue sky. 
positive,a woman sitting on a bench in the middle of the city
positive,a brown and black horse in the middle of the city eating grass.
positive,a brown purse is sitting on a green bench.
positive,this is an advanced toilet with a sink and control panel.
positive,half of a white cake with coconuts on top.
positive,an old toilet with a hello kitty cover top. 
positive,office space with office equipment on desk top.
positive,two husky's hanging out of the car windows.
positive,the back door with a window in the kitchen.
positive,jet liner flying off into the distance on an overcast day
positive,a cat eating a bird it has caught.
positive,a woman is walking a dog in the city.
positive,cars try to maneuver into parking spaces along a densely packed city street. 
positive,dogs stick their heads out of car windows
positive,a person sits on a patch of grass observing the scenery.
positive,a tiny bathroom with only a toilet and a shelf.
positive,a little girl in a public bathroom for kids.
positive,a close-up picture of a toilet with a fountain.
positive,a boy drinking water from a toilet water fountain.
positive,a picture of a man playing a violin in a kitchen.
